,date,Branch,City,Customer_Type,Gender,Product name,Unit price,Quantity,Tax 5%,Total,Payment,Shipping_Method,Invoice ID,Date,Time,cogs,gross margin percentage,gross income,Rating
856,2019-01-01,B,Mandalay,New,Male,Food and beverages,21.12,8,8.448,177.408,Cash,Customer Paid,770-42-8960,1/1/2019,19:31,168.96,4.761904762,8.448,6.3
567,2019-01-01,A,Yangon,New,Female,Fashion accessories,65.74,9,29.583,621.243,Cash,Customer Paid,651-88-7328,1/1/2019,13:55,591.66,4.761904762,29.583,7.7
245,2019-01-01,A,Yangon,Existing,Male,Home and lifestyle,47.59,8,19.036,399.756,Cash,Customer Paid,530-90-9855,1/1/2019,14:47,380.72,4.761904762,19.036,5.7
696,2019-01-01,A,Yangon,Existing,Female,Sports and travel,27.04,4,5.408,113.568,Ewallet,Free,182-52-7000,1/1/2019,20:26,108.16,4.761904762,5.408,6.9
523,2019-01-01,C,Naypyitaw,New,Male,Health and beauty,62.87,2,6.287,132.027,Cash,Customer Paid,133-14-7229,1/1/2019,11:43,125.74,4.761904762,6.287,5.0
829,2019-01-01,A,Yangon,Existing,Female,Electronic accessories,74.22,10,37.11,779.31,Credit card,Free,416-17-9926,1/1/2019,14:42,742.2,4.761904762,37.11,4.3
496,2019-01-01,C,Naypyitaw,New,Female,Electronic accessories,63.22,2,6.322,132.762,Cash,Customer Paid,556-97-7101,1/1/2019,15:51,126.44,4.761904762,6.322,8.5
970,2019-01-01,B,Mandalay,Existing,Female,Food and beverages,84.63,10,42.315,888.615,Credit card,Free,746-04-1077,1/1/2019,11:36,846.3,4.761904762,42.315,9.0
484,2019-01-01,C,Naypyitaw,Existing,Female,Sports and travel,36.98,10,18.49,388.29,Credit card,Free,493-65-6248,1/1/2019,19:48,369.8,4.761904762,18.49,7.0
17,2019-01-01,A,Yangon,New,Male,Sports and travel,72.61,6,21.783,457.443,Credit card,Free,765-26-6951,1/1/2019,10:39,435.66,4.761904762,21.783,6.9
839,2019-01-01,C,Naypyitaw,Existing,Female,Sports and travel,29.22,6,8.766,184.086,Ewallet,Free,271-77-8740,1/1/2019,11:40,175.32,4.761904762,8.766,5.0
450,2019-01-01,B,Mandalay,New,Female,Electronic accessories,74.71,6,22.413,470.673,Cash,Customer Paid,891-01-7034,1/1/2019,19:07,448.26,4.761904762,22.413,6.7
451,2019-01-02,B,Mandalay,New,Male,Electronic accessories,22.01,6,6.603,138.663,Cash,Customer Paid,744-09-5786,1/2/2019,18:50,132.06,4.761904762,6.603,7.6
425,2019-01-02,B,Mandalay,Existing,Male,Fashion accessories,40.61,9,18.2745,383.7645,Cash,Customer Paid,198-84-7132,1/2/2019,13:40,365.49,4.761904762,18.2745,7.0
410,2019-01-02,B,Mandalay,New,Female,Health and beauty,34.21,10,17.105,359.205,Cash,Customer Paid,244-08-0162,1/2/2019,13:00,342.1,4.761904762,17.105,5.1
300,2019-01-02,C,Naypyitaw,New,Male,Fashion accessories,99.82,2,9.982,209.622,Credit card,Free,446-47-6729,1/2/2019,18:09,199.64,4.761904762,9.982,6.7
88,2019-01-02,A,Yangon,New,Male,Sports and travel,42.47,1,2.1235,44.5935,Cash,Customer Paid,504-35-8843,1/2/2019,16:57,42.47,4.761904762,2.1235,5.7
558,2019-01-02,A,Yangon,Existing,Male,Food and beverages,41.66,6,12.498,262.458,Ewallet,Free,712-39-0363,1/2/2019,15:24,249.96,4.761904762,12.498,5.6
837,2019-01-02,B,Mandalay,New,Male,Sports and travel,44.63,6,13.389,281.169,Credit card,Free,670-71-7306,1/2/2019,20:08,267.78,4.761904762,13.389,5.1
744,2019-01-02,C,Naypyitaw,Existing,Female,Sports and travel,31.67,8,12.668,266.028,Credit card,Free,345-68-9016,1/2/2019,16:19,253.36,4.761904762,12.668,5.6
205,2019-01-03,A,Yangon,New,Female,Health and beauty,23.03,9,10.3635,217.6335,Ewallet,Free,749-24-1565,1/3/2019,12:02,207.27,4.761904762,10.3635,7.9
374,2019-01-03,A,Yangon,New,Female,Home and lifestyle,67.09,5,16.7725,352.2225,Credit card,Free,422-29-8786,1/3/2019,16:47,335.45,4.761904762,16.7725,9.1
170,2019-01-03,A,Yangon,New,Male,Health and beauty,70.01,5,17.5025,367.5525,Ewallet,Free,249-42-3782,1/3/2019,11:36,350.05,4.761904762,17.5025,5.5
934,2019-01-03,B,Mandalay,New,Female,Home and lifestyle,63.15,6,18.945,397.845,Ewallet,Free,501-61-1753,1/3/2019,20:24,378.9,4.761904762,18.945,9.8
541,2019-01-03,C,Naypyitaw,Existing,Male,Health and beauty,75.88,1,3.794,79.674,Credit card,Free,343-87-0864,1/3/2019,10:30,75.88,4.761904762,3.794,7.1
777,2019-01-03,B,Mandalay,New,Male,Sports and travel,93.38,1,4.669,98.049,Cash,Customer Paid,875-31-8302,1/3/2019,13:07,93.38,4.761904762,4.669,9.6
271,2019-01-03,C,Naypyitaw,Existing,Female,Health and beauty,21.12,2,2.112,44.352,Cash,Customer Paid,687-15-1097,1/3/2019,19:17,42.24,4.761904762,2.112,9.7
987,2019-01-03,B,Mandalay,Existing,Male,Health and beauty,62.0,8,24.8,520.8,Credit card,Free,552-44-5977,1/3/2019,19:08,496.0,4.761904762,24.8,6.2
269,2019-01-04,A,Yangon,Existing,Female,Home and lifestyle,35.54,10,17.77,373.17,Ewallet,Free,731-14-2199,1/4/2019,13:34,355.4,4.761904762,17.77,7.0
407,2019-01-04,B,Mandalay,Existing,Female,Fashion accessories,68.71,4,13.742,288.582,Cash,Customer Paid,725-32-9708,1/4/2019,19:01,274.84,4.761904762,13.742,4.1
213,2019-01-04,B,Mandalay,New,Male,Sports and travel,46.42,3,6.963,146.223,Credit card,Free,656-16-1063,1/4/2019,13:24,139.26,4.761904762,6.963,4.4
412,2019-01-04,A,Yangon,Existing,Male,Health and beauty,20.97,5,5.2425,110.0925,Cash,Customer Paid,132-23-6451,1/4/2019,13:21,104.85,4.761904762,5.2425,7.8
156,2019-01-04,B,Mandalay,Existing,Male,Electronic accessories,72.17,1,3.6085,75.7785,Cash,Customer Paid,279-74-2924,1/4/2019,19:40,72.17,4.761904762,3.6085,6.1
206,2019-01-04,C,Naypyitaw,Existing,Female,Electronic accessories,66.65,9,29.9925,629.8425,Credit card,Free,672-51-8681,1/4/2019,18:19,599.85,4.761904762,29.9925,9.7
766,2019-01-05,C,Naypyitaw,New,Female,Fashion accessories,76.06,3,11.409,239.589,Credit card,Free,801-88-0346,1/5/2019,20:30,228.18,4.761904762,11.409,9.8
106,2019-01-05,C,Naypyitaw,New,Male,Fashion accessories,27.38,6,8.214,172.494,Credit card,Free,628-34-3388,1/5/2019,20:54,164.28,4.761904762,8.214,7.9
0,2019-01-05,A,Yangon,Existing,Female,Health and beauty,74.69,7,26.1415,548.9715,Ewallet,Free,750-67-8428,1/5/2019,13:08,522.83,4.761904762,26.1415,9.1
544,2019-01-05,B,Mandalay,New,Female,Food and beverages,71.2,1,3.56,74.76,Credit card,Free,841-18-8232,1/5/2019,20:40,71.2,4.761904762,3.56,9.2
536,2019-01-05,B,Mandalay,Existing,Female,Fashion accessories,73.96,1,3.698,77.658,Credit card,Free,339-12-4827,1/5/2019,11:32,73.96,4.761904762,3.698,5.0
945,2019-01-05,A,Yangon,New,Female,Electronic accessories,93.88,7,32.858,690.018,Credit card,Free,489-82-1237,1/5/2019,11:51,657.16,4.761904762,32.858,7.3
268,2019-01-05,A,Yangon,Existing,Male,Home and lifestyle,70.74,4,14.148,297.108,Credit card,Free,144-51-6085,1/5/2019,16:05,282.96,4.761904762,14.148,4.4
511,2019-01-05,A,Yangon,New,Female,Home and lifestyle,42.91,5,10.7275,225.2775,Ewallet,Free,209-61-0206,1/5/2019,17:29,214.55,4.761904762,10.7275,6.1
501,2019-01-05,C,Naypyitaw,Existing,Female,Fashion accessories,31.9,1,1.595,33.495,Ewallet,Free,573-98-8548,1/5/2019,12:40,31.9,4.761904762,1.595,9.1
376,2019-01-05,B,Mandalay,Existing,Female,Home and lifestyle,35.38,9,15.921,334.341,Credit card,Free,843-01-4703,1/5/2019,19:50,318.42,4.761904762,15.921,9.6
243,2019-01-05,A,Yangon,Existing,Male,Home and lifestyle,62.65,4,12.53,263.13,Cash,Customer Paid,217-58-1179,1/5/2019,11:25,250.6,4.761904762,12.53,4.2
936,2019-01-05,C,Naypyitaw,New,Female,Health and beauty,78.89,7,27.6115,579.8415,Ewallet,Free,433-08-7822,1/5/2019,19:48,552.23,4.761904762,27.6115,7.5
254,2019-01-06,A,Yangon,Existing,Male,Home and lifestyle,58.9,8,23.56,494.76,Cash,Customer Paid,704-11-6354,1/6/2019,11:23,471.2,4.761904762,23.56,8.9
697,2019-01-06,B,Mandalay,New,Male,Home and lifestyle,62.19,4,12.438,261.198,Ewallet,Free,826-58-8051,1/6/2019,19:46,248.76,4.761904762,12.438,4.3
703,2019-01-06,B,Mandalay,Existing,Male,Health and beauty,80.47,9,36.2115,760.4415,Cash,Customer Paid,729-06-2010,1/6/2019,11:18,724.23,4.761904762,36.2115,9.2
70,2019-01-06,C,Naypyitaw,New,Male,Food and beverages,89.48,10,44.74,939.54,Credit card,Free,393-65-2792,1/6/2019,12:46,894.8,4.761904762,44.74,9.6
282,2019-01-06,A,Yangon,New,Female,Sports and travel,15.34,1,0.767,16.107,Cash,Customer Paid,490-29-1201,1/6/2019,11:09,15.34,4.761904762,0.767,6.5
384,2019-01-06,A,Yangon,New,Female,Food and beverages,40.94,5,10.235,214.935,Ewallet,Free,662-72-2873,1/6/2019,13:58,204.7,4.761904762,10.235,9.9
365,2019-01-06,C,Naypyitaw,New,Female,Fashion accessories,81.68,4,16.336,343.056,Cash,Customer Paid,834-25-9262,1/6/2019,12:12,326.72,4.761904762,16.336,9.1
955,2019-01-06,A,Yangon,New,Female,Fashion accessories,42.57,7,14.8995,312.8895,Cash,Customer Paid,846-10-0341,1/6/2019,11:51,297.99,4.761904762,14.8995,6.8
869,2019-01-06,A,Yangon,New,Male,Sports and travel,64.59,4,12.918,271.278,Ewallet,Free,852-82-2749,1/6/2019,13:35,258.36,4.761904762,12.918,9.3
35,2019-01-07,C,Naypyitaw,Existing,Female,Sports and travel,68.12,1,3.406,71.526,Ewallet,Free,232-16-2483,1/7/2019,12:28,68.12,4.761904762,3.406,6.8
580,2019-01-07,C,Naypyitaw,New,Male,Food and beverages,27.22,3,4.083,85.743,Cash,Customer Paid,390-31-6381,1/7/2019,12:37,81.66,4.761904762,4.083,7.3
